Symbol ,Series ,LTP ,%chng ,Mkt Cap (₹ Crores),Volume (Lakhs),Value (₹ Crores)
UCAL,EQ,164,1.13,362.66,0.23,0.36
TAKE,EQ,17.7,0.8,261.84,2.09,0.36
OMAXAUTO,EQ,115,3.44,245.77,0.32,0.36
901NHB34,N6,6540,0.36,870.76,0.01,0.35
945CAGL24,N1,991.3,0.03,183.7,0.04,0.35
TBI,ST,175,2.61,317.77,0.19,0.33
DCM,BE,89.94,1.19,167.99,0.37,0.33
MITTAL,EQ,1.96,0.51,87,17.13,0.33
SHREEOSFM,SM,158,4.29,243.37,0.21,0.32
SBIETFPB,EQ,261,0.88,21.48,0.13,0.32
NAMAN,ST,183.5,0.27,239.76,0.18,0.32
NV20,EQ,161,2.07,73.76,0.2,0.32
GATECH,BE,0.68,4.62,46.28,46.18,0.3
718GS2033,GS,103,0.05,207030,0.28,0.29
DIL,EQ,5.65,0.71,91.95,5.22,0.29
SHARIABEES,EQ,558,0.15,26.37,0.05,0.28
MOQUALITY,EQ,204.2,1.65,18.61,0.14,0.28
MAHEPC,EQ,114,0.01,318.45,0.24,0.27
VLINFRA,ST,55.8,1.73,87.68,0.48,0.26
BAIDFIN,BE,14.83,1.44,178.06,1.75,0.25
WEWIN,EQ,74.5,3.99,75.7,0.34,0.25
SABTNL,BE,1226.1,2,3110.99,0.02,0.25
HDFCNIFBAN,EQ,53.39,1.73,5273.67,0.48,0.25
MALUPAPER,EQ,45.9,1.59,78.3,0.54,0.25
737GS2028,GS,102.15,0.07,76612.5,0.23,0.24
BLUECHIP,BE,7.78,1.97,43.03,2.97,0.23
